consumer_segment,name_dob_verified,age,phone_number_verified,phone_number_tenure_months,email_verified,email_tenure_months,education_level,education_score,identity_matching,employment_type,employment_tenure_months,employment_changes_last_5yr,employment_history_score,monthly_income,income_cv,income_trend,monthly_income_stability,income_source_verified,income_source_type,income_source_verification,p2p_upi_transaction_count,p2p_upi_regularity_score,regular_p2p_upi_transactions,avg_account_balance,account_balance_trend,total_monthly_outflow,monthly_outflow_burden,survivability_months,income_retention_ratio,expense_rigidity,inflow_consistency_cv,inflow_time_consistency,monthly_upi_amount,total_emi,emi_to_monthly_upi_amount,total_financial_assets,liquid_assets,investments,has_insurance,insurance_count,insurance_coverage,emi_to_income_ratio,monthly_rent,rent_to_income_ratio,monthly_utility,utility_to_income_ratio,insurance_payment_ontime_ratio,insurance_payment_discipline,spending_personality,spending_personality_score,impulse_purchase_ratio,budget_adherence,spending_discipline_index,bill_payment_ontime_ratio,bill_payment_delays_count,bill_payment_discipline,late_night_transaction_ratio,late_night_payment_behaviour,utility_payment_ontime_ratio,utility_payment_consistency,risk_appetite,risk_appetite_score,location_type,pin_code_risk_score,statement_tampering_detected,transaction_pattern_anomaly,bank_statement_manipulation,digital_footprint_age_days,cross_platform_consistency,device_fingerprint_changes,synthetic_id_risk,default_90dpd,default_probability_true,application_date
high_risk_consumer,0,29,1,,0,,0,,0.23263406101651915,0,,,0.24591585105691816,17729.168646951417,,,,,,,,,,0.0,,0.0,,0.0,0.5663937954474145,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.5289756081790543,,0.6974754325478638,,0.5893273407843088,,0.5685635938514357,,0.6384135885959147,,,,,,0.37139895091957886,,0.0,,0.0,,0.32214906211271016,,0.5005266472374273,,,0.7408512678061218,,,,0.7157527498237182,1,0.45282466959302664,2023-06-01
high_risk_consumer,0,31,1,,1,,0,,0.06795316274084949,0,,,0.18313764553532724,16862.56172545458,,,,,,,,,,0.0,,0.0,,0.0,0.6374893236601797,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.6766479662204227,,0.5126336698922359,,0.5903093201912952,,0.6041374860802413,,0.568155411909659,,,,,,0.1489201832490119,,0.0,,0.0,,0.3307400586825162,,0.6592693216345162,,,0.9188301670342425,,,,0.900316900953374,1,0.45684940080818637,2023-06-01
average_consumer,1,23,1,28.810802190198274,1,45.78301170585973,undergraduate,0.8,0.8368091733751128,salaried_private,63.35983132376564,4.0,0.5456749606095521,31055.790311712833,0.2718074743333785,0.053728691378492774,0.528522203269597,1.0,investments,0.718088390263834,26.0,0.9357367556015304,0.9357367556015304,29772.704772444195,0.029065900784444543,17263.00892333981,0.5558529632351994,1.724553370231027,0.4441470367648006,0.6092519156506646,0.5109792595616944,0.6212755867214717,17147.679180477007,204.08980172745373,0.01190119656327822,437683.5349014551,231880.36805162474,208239.72089546395,0.0,0.0,0.0,0.006571503354951745,6934.8309922399485,0.2232951609820584,3935.6636468366332,0.1267247390131081,0.5,0.5,planned_spender,0.85,0.3460253836534534,0.6986449668488304,0.6807768266479168,0.631790008771246,2.0,0.631790008771246,0.20873959579446671,0.6318756052795808,0.6339508597548268,0.6339508597548268,very_low,0.9,tier_2,0.6,0.0,0.09591666791231633,0.047958333956158165,1257.710632935546,0.913963911501707,2.0,0.09330005899055403,0,0.005,2023-11-03
perfect_consumer,0,44,1,,1,,0,,0.9816795521889028,0,,,0.9519384501018539,147176.43874483864,,,0.950492341681365,,,,,,,0.0,,0.0,,0.0,0.6685099337331452,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.3682302925558576,,0.36320284664143204,,0.30247073179905276,,0.5427603153039279,,0.4789374977622882,,,0.949311607991143,,,0.9908282348015662,,0.0,,0.0,,0.6420568742964297,,0.5043168333288922,,,,,,,,0,0.010679336397250851,2023-06-01
good_consumer,1,41,1,60.45686886080394,1,55.8146375334849,undergraduate,0.8,0.728013792331724,self_employed,68.87835623629098,3.0,0.8533695085172738,64697.422223355,0.38984027129208293,0.05927546314254334,0.7120166940588795,0.0,investments,0.08225729212004806,35.0,1.0,1.0,126517.35941930696,0.08262230957054069,39666.33381946139,0.6130958446331715,3.1894596192203784,0.38690415536682854,0.4928390162239721,0.1834152520230814,0.9789691224038444,56161.87223774689,22880.02367151717,0.4073869935757947,727377.3115177613,302384.7908051368,287995.31653138984,0.0,0.0,0.0,0.3536411381490827,0.0,0.0,5780.525397935416,0.08934569343869944,0.5,0.5,balanced_spender,0.75,0.1666018049990943,0.8552170648220828,0.846489516893612,0.706096469031965,2.0,0.706096469031965,0.11849706023397834,0.7712411600389573,0.773293073723106,0.773293073723106,high,0.4,tier_3,0.4,0.0,0.11080914397380051,0.055404571986900256,1066.7404517968869,0.9685357590097188,2.0,0.07254565316035691,0,0.005,2023-07-11
high_risk_consumer,1,33,1,,1,,0,,0.01832780984459844,0,,,0.2080573408749647,23016.310357117454,,,,,,,,,,0.0,,0.0,,0.0,0.5774029092336765,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.4540661943515857,,0.6749088421877076,,0.3266185472159291,,0.48530065639903885,,0.39961964233431146,,,,,,0.2881366912205992,,0.0,,0.0,,0.6818402055336857,,0.41174182197358955,,,0.8379951368797119,,,,0.9349478687031808,1,0.45213338886976456,2023-06-01
average_consumer,1,47,0,45.784467132340524,1,51.205651188074484,diploma,0.6,0.6174235851827895,student,48.246389566829365,2.0,0.5547956991446824,36660.90652812894,0.2676668629352112,0.014137162876620465,0.6071241609883185,1.0,freelance,0.8087326781498778,34.0,1.0,1.0,26258.17268051774,0.05003933115415896,27575.314138544025,0.7521516677641081,0.9522002305527884,0.24784833223589187,0.40306450432195395,0.5199769427354147,0.4477708453538796,43303.02311220838,5493.980801219765,0.12686998588985346,341781.38417157996,168156.210103543,161723.7217935801,0.0,0.0,0.0,0.14985529454133803,0.0,0.0,5227.259093437404,0.14258012167007128,0.5,0.5,luxury_seeker,0.3,0.3075963130728383,0.6827758417092805,0.6866269797964331,0.7059716686068447,2.0,0.7059716686068447,0.08135460204136731,0.76663602651632,0.4426295100568904,0.4426295100568904,very_low,0.9,tier_2,0.6,0.0,0.23221819675496685,0.11610909837748343,2461.976438934817,1.0,7.0,0.1250940794818161,0,0.005,2024-01-14
average_consumer,1,38,1,28.63048393423226,1,67.66444235803928,primary_school,0.3,0.7045005756567102,salaried_government,66.37669988416997,4.0,0.5068579828511274,30777.00108199297,0.29042391583906857,0.004606588442407092,0.568485070151662,1.0,business,0.6638306110322736,36.0,1.0,1.0,52301.43779965601,0.047877339707714635,23678.15260671615,0.7693206762725514,2.2087546234581756,0.2306793237274486,0.4420687197576417,0.2239849855807448,0.7612611956092401,40975.769324416964,1521.1207529666283,0.037121539302519706,795129.199481867,366392.62617791584,299975.27971935994,0.0,0.0,0.0,0.04942233736734052,8510.985503145357,0.27652820858872507,2330.6339141802628,0.07572401820285293,0.5,0.5,conservative_spender,0.9,0.4129785071746677,0.5900031417771888,0.5888104821964463,0.5773653664903755,4.0,0.5773653664903755,0.2452308845754233,0.6313713722551777,0.5758469711725895,0.5758469711725895,moderate,0.6,tier_2,0.6,0.0,0.10950821687735786,0.05475410843867893,2206.8499607298463,0.7641813547371961,3.0,0.153996693221792,0,0.037219274631752924,2024-04-25
average_consumer,0,27,1,,1,,0,0.9205628232722755,,0,,,0.6374901399200014,58105.3537244239,,,0.744223542403218,,,,,,,0.0,,0.0,,0.0,0.6229143760649485,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.4228600982345623,,0.581262708400391,,0.3148664451377141,,0.6420662092376991,,0.3018758733435196,,,,,,0.8664084852009966,,0.0,,0.0,,0.6119438232724614,,0.4151983494712097,,,,,,,,0,0.07626769199665559,2023-06-01
perfect_consumer,1,34,1,68.15993008019703,1,65.68438943108674,undergraduate,0.8,0.897226494887096,business_owner,61.62169106724624,4.0,1.0,125513.7255673619,0.07718784340676105,0.10420885555328158,1.0,1.0,business,0.9280990492023254,41.0,1.0,1.0,314406.3046072934,-0.012707390540782529,86380.30484150864,0.6882085305213818,3.6397494247645628,0.31179146947861824,0.7556212190886803,0.4310231977616886,0.7165222153425408,178596.965020225,22358.27047096943,0.12518771122861064,891172.4045896467,510804.35269880766,397175.8284525326,0.0,0.0,0.06776827784191496,0.178132648339896,0.0,0.0,13782.679989721579,0.10980926682044664,0.5,0.5,balanced_spender,0.75,0.08679591135553491,0.9398726797636587,0.9292052433159812,1.0,0.0,1.0,0.048661266211830596,0.7806475520643833,0.9584602990194976,0.9584602990194976,very_low,0.9,metro,0.9,0.0,0.028474402002524428,0.014237201001262214,1341.766506861386,1.0,2.0,0.028372640366427157,0,0.005,2023-04-19
